variety,富士,山药,带鱼,平鱼,扇贝,番茄,白虾,草鱼,鲍鱼,鲫鱼
富士,1.0,0.9041377305125762,0.5694540693454848,0.02209658458896735,-0.7860223773572104,-0.2713373157579439,0.21162794752697545,0.1452621263865158,-0.09805660811203039,0.12607290560354112
山药,0.9041377305125762,1.0,0.5149208780736629,0.019360483166255674,-0.7929056669604965,-0.3018628765891058,-0.01834872524619695,0.0514903844841064,-0.3805596779914516,0.08751329380990615
带鱼,0.5694540693454848,0.5149208780736629,1.0,-0.6076614655741532,-0.7176896570958348,0.18080758617254117,0.5330299169931053,-0.20208814397592076,0.2132130892234371,-0.4811830833835987
平鱼,0.02209658458896735,0.019360483166255674,-0.6076614655741532,1.0,0.42154037257274635,-0.27165233031916,-0.27631200654800536,0.30137335153830264,-0.1163910087642179,0.520200461899099
扇贝,-0.7860223773572104,-0.7929056669604965,-0.7176896570958348,0.42154037257274635,1.0,-0.0027209303557719023,-0.16668546293803407,0.06429734555166798,0.21373055046013925,0.10032960193412722
番茄,-0.2713373157579439,-0.3018628765891058,0.18080758617254117,-0.27165233031916,-0.0027209303557719023,1.0,0.17563857421300108,-0.22072315254634628,0.09513199813888894,-0.13002491847067352
白虾,0.21162794752697545,-0.01834872524619695,0.5330299169931053,-0.27631200654800536,-0.16668546293803407,0.17563857421300108,1.0,0.31268539397200235,0.7298007656703913,-0.21011703488922226
草鱼,0.1452621263865158,0.0514903844841064,-0.20208814397592076,0.30137335153830264,0.06429734555166798,-0.22072315254634628,0.31268539397200235,1.0,0.3438635772087939,0.3347566980047711
鲍鱼,-0.09805660811203039,-0.3805596779914516,0.2132130892234371,-0.1163910087642179,0.21373055046013925,0.09513199813888894,0.7298007656703913,0.3438635772087939,1.0,-0.16145829012360793
鲫鱼,0.12607290560354112,0.08751329380990615,-0.4811830833835987,0.520200461899099,0.10032960193412722,-0.13002491847067352,-0.21011703488922226,0.3347566980047711,-0.16145829012360793,1.0
